,0,1,2,3,4,5,6,7,8,9,alpha
0,"('obstinate', 0.6981390714645386)","('evil', 0.6389317512512207)","('malevolent', 0.5613899827003479)","('tyrannical', 0.548183262348175)","('implacable', 0.5431531071662903)","('evil_machinations', 0.5199434161186218)","('unregenerate', 0.5129005908966064)","('vengeful', 0.5042411088943481)","('tyrannical_ruler', 0.5015802979469299)","('obstinacy', 0.500408411026001)",0.9
0,"('evil', 0.655423641204834)","('obstinate', 0.6313621997833252)","('malevolent', 0.564195990562439)","('tyrannical', 0.5393887758255005)","('evil_machinations', 0.522738516330719)","('implacable', 0.5193871259689331)","('tyrannical_ruler', 0.5016394853591919)","('villainous', 0.4989127516746521)","('wickedness', 0.498745858669281)","('unregenerate', 0.498524010181427)",1.1
0,"('evil', 0.664756178855896)","('obstinate', 0.5749527812004089)","('malevolent', 0.5632179975509644)","('tyrannical', 0.5293737053871155)","('evil_machinations', 0.5219869017601013)","('unspeakable_evil', 0.50336754322052)","('wickedness', 0.5001373887062073)","('tyrannical_ruler', 0.49884292483329773)","('Ahriman', 0.49842268228530884)","('villainous', 0.4979126751422882)",1.3000000000000003
0,"('evil', 0.6698437929153442)","('malevolent', 0.5603907704353333)","('obstinate', 0.5275524854660034)","('evil_machinations', 0.5194910168647766)","('tyrannical', 0.5194092988967896)","('unspeakable_evil', 0.5059148073196411)","('Ahriman', 0.5002567768096924)","('wickedness', 0.4994423985481262)","('villainous', 0.4953044652938843)","('tyrannical_ruler', 0.49478811025619507)",1.5000000000000002
0,"('evil', 0.6723930835723877)","('malevolent', 0.5567433834075928)","('evil_machinations', 0.516211748123169)","('tyrannical', 0.5100359320640564)","('unspeakable_evil', 0.5067833065986633)","('Ahriman', 0.5005567073822021)","('wickedness', 0.4976806342601776)","('villainous', 0.49199140071868896)","('tyrannical_ruler', 0.490295946598053)","('obstinate', 0.48761236667633057)",1.7000000000000002
0,"('evil', 0.6734103560447693)","('malevolent', 0.5528169870376587)","('evil_machinations', 0.5126563310623169)","('unspeakable_evil', 0.5066781044006348)","('tyrannical', 0.5014438033103943)","('Ahriman', 0.49999088048934937)","('wickedness', 0.4954119920730591)","('villainous', 0.488447368144989)","('tyrannical_ruler', 0.48577815294265747)","('evil_doer', 0.48487603664398193)",1.9000000000000004
0,"('evil', 0.6734981536865234)","('malevolent', 0.5488923192024231)","('evil_machinations', 0.5090886354446411)","('unspeakable_evil', 0.5060133337974548)","('Ahriman', 0.49894699454307556)","('tyrannical', 0.49366098642349243)","('wickedness', 0.49294403195381165)","('villainous', 0.4849167466163635)","('evil_doer', 0.4828888177871704)","('Nekron', 0.48196732997894287)",2.1000000000000005
